count,date
14227336,2019-11-07 15:57:53
14227336,2019-11-07 15:57:54
14227336,2019-11-07 15:57:55
14227336,2019-11-07 15:57:56
14227336,2019-11-07 15:57:57
14227336,2019-11-07 15:57:58
14227336,2019-11-07 15:57:59
14227336,2019-11-07 15:58:01
14227336,2019-11-07 15:58:02
14227336,2019-11-07 15:58:03
14227336,2019-11-07 15:58:05
14227336,2019-11-07 15:58:06
14227336,2019-11-07 15:58:07
14227336,2019-11-07 15:58:08
14227336,2019-11-07 15:58:09
14227336,2019-11-07 15:58:10
14227336,2019-11-07 15:58:11
14227336,2019-11-07 15:58:13
14227336,2019-11-07 15:58:14
14227336,2019-11-07 15:58:15
14227336,2019-11-07 15:58:16
14227336,2019-11-07 15:58:18
14227336,2019-11-07 15:58:19
14227336,2019-11-07 15:58:20
14227336,2019-11-07 15:58:21
14227336,2019-11-07 15:58:22
14227336,2019-11-07 15:58:23
14227356,2019-11-07 15:58:24
14227356,2019-11-07 15:58:26
14227356,2019-11-07 15:58:27
14227356,2019-11-07 15:58:29
14227356,2019-11-07 15:58:30
14227356,2019-11-07 15:58:31
14227356,2019-11-07 15:58:32
14227356,2019-11-07 15:58:33
14227356,2019-11-07 15:58:34
14227356,2019-11-07 15:58:35
14227372,2019-11-07 15:58:36
14227372,2019-11-07 15:58:38
14227372,2019-11-07 15:58:39
14227372,2019-11-07 15:58:40
14227372,2019-11-07 15:58:41
14227372,2019-11-07 15:58:42
14227372,2019-11-07 15:58:43
14227372,2019-11-07 15:58:45
14227372,2019-11-07 15:58:46
14227372,2019-11-07 15:58:47
14227378,2019-11-07 15:58:48
14227378,2019-11-07 15:58:49
14227378,2019-11-07 15:58:50
14227378,2019-11-07 15:58:52
14227378,2019-11-07 15:58:53
14227378,2019-11-07 15:58:54
14227378,2019-11-07 15:58:55
14227378,2019-11-07 15:58:56
14227378,2019-11-07 15:58:57
14227378,2019-11-07 15:58:58
14227378,2019-11-07 15:59:00
14227378,2019-11-07 15:59:01
14227378,2019-11-07 15:59:02
14227378,2019-11-07 15:59:04
14227378,2019-11-07 15:59:05
14227378,2019-11-07 15:59:06
14227378,2019-11-07 15:59:07
14227378,2019-11-07 15:59:08
14227378,2019-11-07 15:59:09
14227428,2019-11-07 15:59:10
14227428,2019-11-07 15:59:12
14227428,2019-11-07 15:59:13
14227428,2019-11-07 15:59:14
14227428,2019-11-07 15:59:15
14227428,2019-11-07 15:59:17
14227428,2019-11-07 15:59:18
14227428,2019-11-07 15:59:19
14227428,2019-11-07 15:59:20
14227433,2019-11-07 15:59:22
14227433,2019-11-07 15:59:23
14227433,2019-11-07 15:59:25
14227433,2019-11-07 15:59:26
14227433,2019-11-07 15:59:27
14227433,2019-11-07 15:59:28
14227433,2019-11-07 15:59:29
14227433,2019-11-07 15:59:30
14227433,2019-11-07 15:59:31
14227434,2019-11-07 15:59:33
14227434,2019-11-07 15:59:34
14227434,2019-11-07 15:59:35
14227434,2019-11-07 15:59:37
14227434,2019-11-07 15:59:38
14227434,2019-11-07 15:59:39
14227434,2019-11-07 15:59:40
14227434,2019-11-07 15:59:41
14227434,2019-11-07 15:59:42
14227434,2019-11-07 15:59:43
14227435,2019-11-07 15:59:44
14227435,2019-11-07 15:59:46
14227435,2019-11-07 15:59:47
14227435,2019-11-07 15:59:48
14227435,2019-11-07 15:59:50
14227435,2019-11-07 15:59:51
14227435,2019-11-07 15:59:52
14227435,2019-11-07 15:59:53
14227435,2019-11-07 15:59:54
14227435,2019-11-07 15:59:55
14227435,2019-11-07 15:59:56
14227435,2019-11-07 15:59:58
14227435,2019-11-07 15:59:59
14227435,2019-11-07 16:00:00
14227435,2019-11-07 16:00:01
14227435,2019-11-07 16:00:02
14227435,2019-11-07 16:00:03
14227435,2019-11-07 16:00:04
14227435,2019-11-07 16:00:05
14227435,2019-11-07 16:00:07
14227435,2019-11-07 16:00:08
14227435,2019-11-07 16:00:09
14227435,2019-11-07 16:00:11
14227435,2019-11-07 16:00:12
14227435,2019-11-07 16:00:13
14227435,2019-11-07 16:00:14
14227435,2019-11-07 16:00:15
14227435,2019-11-07 16:00:17
14227435,2019-11-07 16:00:18
14227435,2019-11-07 16:00:19
14227435,2019-11-07 16:00:20
14227435,2019-11-07 16:00:21
14227435,2019-11-07 16:00:22
14227435,2019-11-07 16:00:24
14227435,2019-11-07 16:00:25
14227435,2019-11-07 16:00:26
14227435,2019-11-07 16:00:27
14227435,2019-11-07 16:00:28
14227435,2019-11-07 16:00:29
14227435,2019-11-07 16:00:30
14227435,2019-11-07 16:00:32
14227435,2019-11-07 16:00:33
14227435,2019-11-07 16:00:34
14227435,2019-11-07 16:00:35
14227435,2019-11-07 16:00:36
14227435,2019-11-07 16:00:37
14227435,2019-11-07 16:00:39
14227445,2019-11-07 16:00:40
14227445,2019-11-07 16:00:41
14227445,2019-11-07 16:00:43
14227445,2019-11-07 16:00:44
14227445,2019-11-07 16:00:45
14227445,2019-11-07 16:00:46
14227445,2019-11-07 16:00:47
14227445,2019-11-07 16:00:48
14227445,2019-11-07 16:00:49
14227445,2019-11-07 16:00:50
14227445,2019-11-07 16:00:52
14227445,2019-11-07 16:00:53
14227445,2019-11-07 16:00:54
14227445,2019-11-07 16:00:55
14227445,2019-11-07 16:00:56
14227445,2019-11-07 16:00:57
14227445,2019-11-07 16:00:58
14227445,2019-11-07 16:01:00
14227445,2019-11-07 16:01:01
14227451,2019-11-07 16:01:02
14227451,2019-11-07 16:01:04
14227451,2019-11-07 16:01:05
14227451,2019-11-07 16:01:06
14227451,2019-11-07 16:01:07
14227451,2019-11-07 16:01:08
14227451,2019-11-07 16:01:09
14227451,2019-11-07 16:01:10
14227451,2019-11-07 16:01:12
14227452,2019-11-07 16:01:13
14227452,2019-11-07 16:01:14
14227452,2019-11-07 16:01:15
14227452,2019-11-07 16:01:17
14227452,2019-11-07 16:01:18
14227452,2019-11-07 16:01:19
14227452,2019-11-07 16:01:20
14227452,2019-11-07 16:01:21
14227452,2019-11-07 16:01:22
14227452,2019-11-07 16:01:24
14227452,2019-11-07 16:01:25
14227452,2019-11-07 16:01:26
14227452,2019-11-07 16:01:28
14227452,2019-11-07 16:01:29
14227452,2019-11-07 16:01:30
14227452,2019-11-07 16:01:31
14227452,2019-11-07 16:01:32
14227452,2019-11-07 16:01:33
14227452,2019-11-07 16:01:34
14227452,2019-11-07 16:01:36
14227452,2019-11-07 16:01:37
14227452,2019-11-07 16:01:38
14227452,2019-11-07 16:01:39
14227452,2019-11-07 16:01:40
14227452,2019-11-07 16:01:41
14227452,2019-11-07 16:01:42
14227452,2019-11-07 16:01:44
14227452,2019-11-07 16:01:45
14227452,2019-11-07 16:01:46
14227454,2019-11-07 16:01:47
14227454,2019-11-07 16:01:48
14227454,2019-11-07 16:01:49
14227454,2019-11-07 16:01:50
14227454,2019-11-07 16:01:51
14227454,2019-11-07 16:01:53
14227454,2019-11-07 16:01:54
14227454,2019-11-07 16:01:55
14227454,2019-11-07 16:01:56
14227454,2019-11-07 16:01:57
14227456,2019-11-07 16:01:58
14227456,2019-11-07 16:01:59
14227456,2019-11-07 16:02:01
14227456,2019-11-07 16:02:02
14227456,2019-11-07 16:02:03
14227456,2019-11-07 16:02:04
14227456,2019-11-07 16:02:05
14227456,2019-11-07 16:02:06
14227456,2019-11-07 16:02:07
14227464,2019-11-07 16:02:09
14227464,2019-11-07 16:02:10
14227464,2019-11-07 16:02:11
14227464,2019-11-07 16:02:12
14227464,2019-11-07 16:02:13
14227464,2019-11-07 16:02:14
